                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.63315,                 0.3751,                 1.0941,                0.99943,                    0.5,                 0.4975,                0.40206,                0.79017,                0.44736,                 1.2718,              0.0010396,              0.0010396,              0.0010396
                     53,                0.66888,                0.40657,                  1.111,                 0.9994,                    0.5,                 0.4975,                0.41018,                0.74859,                0.39281,                 1.1758,              0.0010355,              0.0010355,              0.0010355
                     54,                0.64801,                0.38544,                 1.1024,                0.99712,                    0.5,                 0.4975,                0.42451,                0.75789,                0.36688,                 1.1984,              0.0010314,              0.0010314,              0.0010314
                     55,                0.66872,                0.40926,                 1.1127,                0.99357,                 0.4902,                0.49466,                0.41506,                0.69491,                0.37813,                 1.1535,              0.0010273,              0.0010273,              0.0010273
                     56,                0.64251,                0.38135,                 1.0893,                0.99005,                 0.4902,                0.49294,                 0.4213,                0.70192,                0.38049,                 1.1344,              0.0010231,              0.0010231,              0.0010231
                     57,                0.62279,                 0.3937,                 1.0994,                 0.9971,                    0.5,                 0.4975,                0.42293,                0.68798,                0.39677,                 1.1099,               0.001019,               0.001019,               0.001019
                     58,                0.64049,                0.37512,                 1.1045,                0.99935,                    0.5,                 0.4975,                0.41161,                0.75034,                0.41645,                  1.177,              0.0010149,              0.0010149,              0.0010149
                     59,                0.66341,                0.37968,                 1.1003,                      1,                0.49979,                 0.4975,                 0.4229,                0.65918,                 0.3696,                 1.1298,              0.0010107,              0.0010107,              0.0010107
                     60,                0.64189,                0.37445,                 1.0946,                0.99914,                    0.5,                 0.4975,                0.42245,                0.70177,                0.40523,                 1.1606,              0.0010066,              0.0010066,              0.0010066
                     61,                0.64497,                0.38615,                 1.0992,                0.99946,                    0.5,                 0.4975,                 0.3921,                0.79371,                0.41892,                 1.2257,              0.0010025,              0.0010025,              0.0010025
                     62,                0.63089,                0.36846,                 1.0856,                0.98939,                    0.5,                0.49606,                0.42325,                0.69381,                 0.4018,                 1.1394,             0.00099837,             0.00099837,             0.00099837
                     63,                0.63295,                0.37038,                  1.104,                0.99048,                 0.4902,                0.49731,                 0.4233,                0.67729,                0.38417,                 1.1126,             0.00099425,             0.00099425,             0.00099425
